Article ID,User ID,User Name,Arm,disease,prior-treatment,int_treatment,int_biomarker,int_biomarker_modifier,int_biomarker_positive,comp_treatment,comp_biomarker,comp_biomarker_modifier,comp_biomarker_positive,int_num_patients,comp_num_patients,outcome_type,outcome_value,confidence_interval,CI_percent,model_type,figure_table_section,median_duration_months
11781741,139,tom,AvsB,mcrpc,prior-docetaxel,AAP + olaparib,background,NA,NA,AAP + placebo,background,NA,NA,71,71,rPFS|||RECIST1.1,0.65,0.44-0.97,95,uni-cox,fig 2A,0-30
11781741,139,tom,AvsB,mcrpc,prior-docetaxel,AAP + olaparib,"ATM,BARD1,BRCA1,BRCA2,BRIP1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",qualifying or suspected deleterious alteration,positive,AAP + placebo,"ATM,BARD1,BRCA1,BRCA2,BRIP1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",qualifying or suspected deleterious alteration,positive,11,10,rPFS|||RECIST1.1,0.74,0.26-2.12,95,uni-cox,fig 2B,0-30
11781741,139,tom,AvsB,mcrpc,prior-docetaxel,AAP + olaparib,"ATM,BARD1,BRCA1,BRCA2,BRIP1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",normal,positive,AAP + placebo,"ATM,BARD1,BRCA1,BRCA2,BRIP1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",normal,positive,15,20,rPFS|||RECIST1.1,0.52,0.24-1.15,95,uni-cox,fig 2C,0-30
11781741,139,tom,AvsB,mcrpc,prior-docetaxel,AAP + olaparib,"ATM,BARD1,BRCA1,BRCA2,BRIP1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",partially characterized,positive,AAP + placebo,"ATM,BARD1,BRCA1,BRCA2,BRIP1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",partially characterized,positive,45,41,rPFS|||RECIST1.1,0.67,0.4-1.13,95,uni-cox,fig 2D,0-30
11781741,139,tom,AvsB,mcrpc,prior-docetaxel,AAP + olaparib,background,NA,NA,AAP + placebo,background,NA,NA,71,71,second rPFS,0.79,0.51-1.21,95,uni-cox,fig 3A,0-30
11781741,139,tom,AvsB,mcrpc,prior-docetaxel,AAP + olaparib,background,NA,NA,AAP + placebo,background,NA,NA,71,71,OS,0.91,0.6-1.38,95,uni-cox,fig 3B,0-30
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,ZFHX3,altered,positive,AAP or AAP + veliparib,ZFHX3,altered,negative,6,74,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,1.74,0.74-4.09,95,uni-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,ETS,fusion,positive,AAP or AAP + veliparib,ETS,fusion,negative,41,39,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,1.19,0.73-1.95,95,uni-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,AR,amplified|||mutated,positive,AAP or AAP + veliparib,AR,amplified|||mutated,negative,41,39,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,1.41,0.86-2.31,95,uni-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,CHD1,altered,positive,AAP or AAP + veliparib,CHD1,altered,negative,4,76,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,0.39,0.09-1.71,95,multi-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,CHD1,altered,positive,AAP or AAP + veliparib,CHD1,altered,negative,4,76,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,0.31,0.07-1.29,95,uni-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,WNT pathway,altered,positive,AAP or AAP + veliparib,WNT pathway,altered,negative,12,68,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,0.88,0.44-1.74,95,multi-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,AR,amplified|||mutated,positive,AAP or AAP + veliparib,AR,amplified|||mutated,negative,41,39,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,1.34,0.80-2.23,95,multi-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,"BRCA1,BRCA2,ATM,FANCA,PALB2,RAD51B,RAD51C",altered biallelic,positive,AAP or AAP + veliparib,"BRCA1,BRCA2,ATM,FANCA,PALB2,RAD51B,RAD51C",altered biallelic,negative,20,55,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,0.52,0.29-0.93,95,uni-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,PTEN,altered,positive,AAP or AAP + veliparib,PTEN,altered,negative,34,46,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,1.82,1.11-3.01,95,uni-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,RB1,altered,positive,AAP or AAP + veliparib,RB1,altered,negative,9,71,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,1.32,0.62-2.78,95,uni-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,PI3K pathway,altered,positive,AAP or AAP + veliparib,PI3kK pathway,altered,negative,39,41,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,1.45,0.79-2.68,95,multi-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,"BRCA1,BRCA2,ATM,FANCA,PALB2,RAD51B,RAD51C",altered biallelic,positive,AAP or AAP + veliparib,"BRCA1,BRCA2,ATM,FANCA,PALB2,RAD51B,RAD51C",altered biallelic,negative,20,55,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,0.51,0.27-0.97,95,multi-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,SPOP,altered,positive,AAP or AAP + veliparib,SPOP,altered,negative,5,75,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,0.28,0.07-1.15,95,uni-cox,table 4,0-42
11781742,139,tom,AvsB,mcrpc,prior-adt,AAP + veliparib,background,NA,NA,AAP,background,NA,NA,79,80,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,1,0.7-1.44,95,uni-cox,table A7,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,SPOP,altered,positive,AAP or AAP + veliparib,SPOP,altered,negative,5,75,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,0.54,0.09-3.40,95,multi-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,WNT pathway,altered,positive,AAP or AAP + veliparib,WNT pathway,altered,negative,12,68,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,0.96,0.5-1.85,95,uni-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,RB1,altered,positive,AAP or AAP + veliparib,RB1,altered,negative,9,71,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,1.47,0.66-3.28,95,multi-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,ETS,fusion,positive,AAP or AAP + veliparib,ETS,fusion,negative,41,39,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,1.24,0.45-3.38,95,multi-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,TP53,altered,positive,AAP or AAP + veliparib,TP53,altered,negative,33,47,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,1.88,1.14-3.12,95,uni-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,PTEN,altered,positive,AAP or AAP + veliparib,PTEN,altered,negative,34,46,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,1.61,0.92-2.82,95,multi-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,ZFHX3,altered,positive,AAP or AAP + veliparib,ZFHX3,altered,negative,6,74,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,1.44,0.57-3.63,95,multi-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,TP53,altered,positive,AAP or AAP + veliparib,TP53,altered,negative,33,47,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,2.52,1.30-4.89,95,multi-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,PI3K pathway,altered,positive,AAP or AAP + veliparib,PI3K pathway,altered,negative,39,41,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,1.74,1.05-2.87,95,uni-cox,table 4,0-42
11781746,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,ATM,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,ATM,qualifying or suspected deleterious alteration,positive,62,24,OS,0.82,.39-1.88,95,multi-cox,fig S5B,35
11781746,139,tom,AvsB,mcrpc,prior-AR-directed|||no-prior-taxane,olaparib,ATM,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,ATM,qualifying or suspected deleterious alteration,positive,35,15,rPFS|||RECIST1.1,2.408,.969-7.295,95,multi-cox,table S6,35
11781746,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"BRCA1,BRCA2",qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"BRCA1,BRCA2",qualifying or suspected deleterious alteration,positive,102,58,OS,0.61,.37-1.01,95,multi-cox,fig S5A,35
11781746,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,94,48,OS,0.73,NR,95,multi-cox,fig S4B,35
11781746,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,94,48,rPFS|||RECIST1.1,0.88,NR,95,multi-cox,fig S4A,35
11781746,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"BRCA1,BRCA2",qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"BRCA1,BRCA2",qualifying or suspected deleterious alteration,positive,102,58,rPFS|||RECIST1.1,0.22,.15-.32,95,multi-cox,fig S5A,35
11781746,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,162,83,rPFS|||RECIST1.1,0.34,.25-.47,95,multi-cox,fig 1A,35
11781746,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,BRCA2,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,BRCA2,qualifying or suspected deleterious alteration,positive,92,53,rPFS|||RECIST1.1,0.21,0.13-0.32,95,multi-cox,fig 2B,35
11781746,139,tom,AvsB,mcrpc,prior-AR-directed|||prior-taxane,olaparib,ATM,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,ATM,qualifying or suspected deleterious alteration,positive,35,15,rPFS|||RECIST1.1,0.552,.28-1.149,95,multi-cox,table S6,35
11781746,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,CHEK2,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,CHEK2,qualifying or suspected deleterious alteration,positive,11,6,rPFS|||RECIST1.1,0.87,0.23-4.13,95,multi-cox,fig 2B,35
11781746,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,162,83,OS,0.64,.43-.97,95,multi-cox,fig 1B,35
11781746,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,PPP2R2A,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,PPP2R2A,qualifying or suspected deleterious alteration,positive,7,8,rPFS|||RECIST1.1,6.61,1.41-46.41,95,multi-cox,fig 2B,35
11781746,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,RAD54L,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,RAD54L,qualifying or suspected deleterious alteration,positive,4,2,rPFS|||RECIST1.1,0.33,.05-2.54,95,multi-cox,fig 2B,35
11781746,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,256,131,OS,0.67,0.49-0.93,95,multi-cox,fig S3,35
11781746,139,tom,AvsB,mcrpc,prior-AR-directed|||prior-taxane,olaparib,ATM,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,ATM,qualifying or suspected deleterious alteration,positive,35,15,OS,0.544,.223-1.399,95,multi-cox,table S6,35
11781746,139,tom,AvsB,mcrpc,prior-AR-directed|||no-prior-taxane,olaparib,ATM,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,ATM,qualifying or suspected deleterious alteration,positive,35,15,OS,2.943,.552-54.292,95,multi-cox,table S6,35
11781746,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,256,131,rPFS|||RECIST1.1,0.49,.38-.63,95,multi-cox,fig 1C,35
11781746,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,ATM,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,ATM,qualifying or suspected deleterious alteration,positive,66,26,rPFS|||RECIST1.1,1.04,0.61-1.87,95,multi-cox,"fig 2B,fig S5B",35
11781746,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,CDK12,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,CDK12,qualifying or suspected deleterious alteration,positive,61,28,OS,0.65,.35-1.25,95,multi-cox,fig S5C,35
11781746,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,BRCA1,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,BRCA1,qualifying or suspected deleterious alteration,positive,10,5,rPFS|||RECIST1.1,0.41,.13-1.39,95,multi-cox,fig 2B,35
11781746,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,CDK12,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,CDK12,qualifying or suspected deleterious alteration,positive,67,32,rPFS|||RECIST1.1,0.74,0.44-1.31,95,multi-cox,"fig 2B,fig S5C",35
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,TP53,altered,positive,AAP or Enz,TP53,altered,negative,66,128,PSA PFS|||RECIST1.1|||rPFS,1.96,1.23-3.11,95,multi-cox,table 3 row 3,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,AR,gain (CN >= 8),positive,AAP or Enz,AR,gain (CN >= 8),negative,31,127,PSA PFS|||RECIST1.1|||rPFS,1.48,0.85-2.58,95,multi-cox,table 3 row 7,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,"BRCA2,ATM",truncating mutation,positive,AAP or Enz,"BRCA2,ATM",truncating mutation,negative,14,180,PSA PFS|||RECIST1.1|||rPFS,5.27,2.79-9.95,95,multi-cox,table 3 row 1,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,SPOP,mutation,positive,AAP or Enz,SPOP,mutation,negative,12,182,PSA PFS|||RECIST1.1|||rPFS,1,0.51-1.97,95,uni-cox,table 3 row 12,12.9 (0-32.1)
11781748,139,tom,BvsA,mcrpc,no-prior-taxane|||no-prior-AR-directed,enzalutamide,background,NA,NA,AAP,background,NA,NA,101,101,PSA PFS|||RECIST1.1|||rPFS,0.82,0.58-1.16,95,multi-cox,fig 1B,12.9 (0-32.1)
