Article ID,User ID,User Name,Arm,disease,prior-treatment,int_treatment,int_biomarker,int_biomarker_modifier,int_biomarker_positive,comp_treatment,comp_biomarker,comp_biomarker_modifier,comp_biomarker_positive,int_num_patients,comp_num_patients,outcome_type,outcome_value,confidence_interval,CI_percent,model_type,figure_table_section,median_duration_months
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,WNT pathway,altered,positive,AAP or Enz,WNT pathway,altered,negative,16,178,PSA PFS|||RECIST1.1|||rPFS,1.29,0.71-2.34,95,uni-cox,table 3 row 11,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,PI3K pathway,defect,positive,AAP or Enz,PI3K pathway,defect,negative,59,143,PSA PFS|||RECIST1.1|||rPFS,1.46,0.94-2.27,95,multi-cox,table 3 row 10,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,SPOP,mutation,positive,AAP or Enz,SPOP,mutation,negative,12,182,PSA PFS|||RECIST1.1|||rPFS,0.43,0.21-0.89,95,multi-cox,table 3 row 12,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,"BRCA2,ATM",monoallelic deletion,positive,AAP or Enz,"BRCA2,ATM",monoallelic deletion,negative,22,158,PSA PFS|||RECIST1.1|||rPFS,1.44,0.82-2.53,95,multi-cox,table 3 row 2,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,"BRCA2,ATM",truncating mutation,positive,AAP or Enz,"BRCA2,ATM",truncating mutation,negative,14,180,PSA PFS|||RECIST1.1|||rPFS,6.14,3.35-11.26,95,uni-cox,table 3 row 1,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,RB1,altered,positive,AAP or Enz,RB1,altered,negative,37,157,PSA PFS|||RECIST1.1|||rPFS,2.03,1.36-3.04,95,uni-cox,table 3 row 5,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,RB1,altered,positive,AAP or Enz,RB1,altered,negative,37,157,PSA PFS|||RECIST1.1|||rPFS,1.39,0.96-2.01,95,multi-cox,table 3 row 5,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,AR,gain (CN < 8),positive,AAP or Enz,AR,gain (CN < 8),negative,36,127,PSA PFS|||RECIST1.1|||rPFS,1.67,1.07-2.62,95,uni-cox,table 3 row 8,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,"BRCA2,ATM",monoallelic deletion,positive,AAP or Enz,"BRCA2,ATM",monoallelic deletion,negative,22,158,PSA PFS|||RECIST1.1|||rPFS,2.58,1.58-4.21,95,uni-cox,table 3 row 2,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,AR,LBD mutation,positive,AAP or Enz,AR,LBD mutation,negative,14,180,PSA PFS|||RECIST1.1|||rPFS,1.02,0.53-1.95,95,uni-cox,table 3 row 9,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,WNT pathway,defect,positive,AAP or Enz,WNT pathway,defect,negative,16,178,PSA PFS|||RECIST1.1|||rPFS,0.67,0.35-1.28,95,multi-cox,table 3 row 11,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,TP53,altered (two or more),positive,AAP or Enz,TP53,altered (one),positive,19,46,PSA PFS|||RECIST1.1|||rPFS,2.19,1.18-4.08,95,uni-cox,page 449,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,PI3K pathway,altered,positive,AAP or Enz,PI3K pathway,altered,negative,59,143,PSA PFS|||RECIST1.1|||rPFS,2.45,1.71-3.51,95,uni-cox,table 3 row 10,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,AR,LBD mutation,positive,AAP or Enz,AR,LBD mutation,negative,14,180,PSA PFS|||RECIST1.1|||rPFS,0.82,0.40-1.68,95,multi-cox,table 3 row 9,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,AR,gain,positive,AAP or Enz,AR,gain,negative,67,127,PSA PFS|||RECIST1.1|||rPFS,1.21,0.77-1.91,95,multi-cox,table 3 row 6,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,AR,gain (CN < 8),positive,AAP or Enz,AR,gain (CN < 8),negative,36,127,PSA PFS|||RECIST1.1|||rPFS,1.08,0.63-1.85,95,multi-cox,table 3 row 8,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,TP53,altered,positive,AAP or Enz,TP53,altered,negative,66,128,PSA PFS|||RECIST1.1|||rPFS,2.7,1.86-3.91,95,uni-cox,table 3 row 3,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,AR,gain,positive,AAP or Enz,AR,gain,negative,67,127,PSA PFS|||RECIST1.1|||rPFS,2.05,1.43-2.93,95,uni-cox,table 3 row 6,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,TP53,altered (two or more),positive,AAP or Enz,TP53,altered (two or more),negative,19,129,PSA PFS|||RECIST1.1|||rPFS,3.4,1.70-6.80,95,multi-cox,table 3 row 4,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,TP53,altered (two or more),positive,AAP or Enz,TP53,altered (two or more),negative,19,129,PSA PFS|||RECIST1.1|||rPFS,5.65,3.14-10.17,95,uni-cox,table 3 row 4,12.9 (0-32.1)
11781748,139,tom,A+B,mcrpc,no-prior-taxane|||no-prior-AR-directed,AAP or Enz,AR,gain (CN >= 8),positive,AAP or Enz,AR,gain (CN >= 8),negative,31,127,PSA PFS|||RECIST1.1|||rPFS,2.65,1.68-4.19,95,uni-cox,table 3 row 7,12.9 (0-32.1)
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,@CDK12,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,@CDK12,qualifying or suspected deleterious alteration,positive,61,28,OS,0.97,0.57-1.71,95,uni-cox,fig S5B,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,@ATM,qualifying or suspected deleterious alteration,positive,AAP or Enz,@ATM,qualifying or suspected deleterious alteration,positive,62,24,OS,0.84,0.19-3.75,95,uni-cox|||adjusted for crossover,fig S7B,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed|||prior-taxane,olaparib,@ATM,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,@ATM,qualifying or suspected deleterious alteration,positive,35,15,OS,0.45,0.22-0.95,95,uni-cox,fig S8B,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,@CHEK2,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,@CHEK2,qualifying or suspected deleterious alteration,positive,7,5,OS,0.87,0.19-4.44,95,uni-cox,fig S5B,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"BRCA2,BRCA1,ATM,BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",one qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"BRCA2,BRCA1,ATM,BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",one qualifying or suspected deleterious alteration,positive,239,120,OS,0.79,0.6-1.04,95,uni-cox,fig S5B,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"BRCA2,BRCA1,ATM,BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"BRCA2,BRCA1,ATM,BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",qualifying or suspected deleterious alteration,positive,256,131,second rPFS,0.68,0.51-0.90,95,uni-cox,fig S11C,30
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,@BRCA2,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,@BRCA2,qualifying or suspected deleterious alteration,positive,81,47,OS,0.59,0.37-0.95,95,uni-cox,fig S5B,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed|||prior-taxane,olaparib,@CDK12,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,@CDK12,qualifying or suspected deleterious alteration,positive,46,20,OS,1.01,0.55-1.98,95,uni-cox,fig S8C,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,positive,94,48,second rPFS,0.77,0.5-1.21,95,uni-cox,fig S11B,30
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,@ATM,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,@ATM,qualifying or suspected deleterious alteration,positive,62,24,OS,0.93,0.53-1.75,95,uni-cox,fig S5B,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,162,83,OS,0.69,0.5-0.97,95,uni-cox,fig 1A,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,256,131,OS,0.79,0.61-1.03,95,uni-cox,fig 3A,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"ATM,BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA1,!BRCA2",qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"ATM,BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA1,!BRCA2",qualifying or suspected deleterious alteration,positive,154,73,OS,0.95,0.68-1.34,95,uni-cox,fig S7A,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed|||no-prior-taxane,olaparib,"@BRCA1,@BRCA2",qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"@BRCA1,@BRCA2",qualifying or suspected deleterious alteration,positive,23,20,OS,0.3,0.1-0.78,95,uni-cox,fig S8A,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"!PPP2R2A,BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"!PPP2R2A,BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,positive,88,43,OS,0.79,0.51-1.25,95,uni-cox,fig S10A,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,AAP or Enz,"BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,162,83,OS,0.42,0.19-0.91,95,uni-cox|||adjusted for crossover,fig 1B,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"!PPP2R2A,BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,RAD51B,RAD51C,RAD51D,RAD54L,BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"!PPP2R2A,BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,RAD51B,RAD51C,RAD51D,RAD54L,BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,249,123,OS,0.76,0.58-1.00,95,uni-cox,fig S10B,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,162,83,second rPFS,0.64,0.45-0.93,95,uni-cox,fig S11A,30
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"ATM,BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA1,!BRCA2",qualifying or suspected deleterious alteration,positive,AAP or Enz,"ATM,BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA1,!BRCA2",qualifying or suspected deleterious alteration,positive,154,73,OS,0.82,0.25-2.68,95,uni-cox|||adjusted for crossover,fig S7A,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,@BRCA1,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,@BRCA1,qualifying or suspected deleterious alteration,positive,8,5,OS,0.42,0.12-1.53,95,uni-cox,fig S5B,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed|||no-prior-taxane,olaparib,@CDK12,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,@CDK12,qualifying or suspected deleterious alteration,positive,15,8,OS,0.72,0.25-2.34,95,uni-cox,fig S8C,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed|||prior-taxane,olaparib,"@BRCA1,@BRCA2",qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"@BRCA1,@BRCA2",qualifying or suspected deleterious alteration,positive,66,32,OS,0.64,0.39-1.08,95,uni-cox,fig S8A,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,@CDK12,qualifying or suspected deleterious alteration,positive,AAP or Enz,@CDK12,qualifying or suspected deleterious alteration,positive,61,28,OS,0.7,0.04-12.53,95,uni-cox|||adjusted for crossover,fig S7C,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed|||no-prior-taxane,olaparib,@ATM,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,@ATM,qualifying or suspected deleterious alteration,positive,27,9,OS,2.82,0.96-12.03,95,uni-cox,fig S8B,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,positive,94,48,OS,0.96,0.63-1.49,95,uni-cox,fig 2A,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,AAP or Enz,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,256,131,OS,0.55,0.29-1.06,95,uni-cox|||adjusted for crossover,fig 3B,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,@PPP2R2A,qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,@PPP2R2A,qualifying or suspected deleterious alteration,positive,6,4,OS,5.11,1.1-35.73,95,uni-cox,fig S5B,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,positive,AAP or Enz,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,positive,94,48,OS,0.83,0.11-5.98,95,uni-cox|||adjusted for crossover,fig 2B,35
11781749,139,tom,AvsB,mcrpc,prior-AR-directed,olaparib,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,positive,AAP or Enz|||crossover to olaparib permitted,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,positive,94,48,rPFS,0.88,0.58-1.36,95,uni-cox,fig S1,17
