Article ID,Article URL,Title,Journal,Authors,Abstract,predict(94477:Include)
11643710,https://sysrev.com/p/78823/article/11643710,"Olaparib in patients with metastatic castration-resistant prostate cancer with DNA repair gene aberrations (TOPARP-B): a multicentre, open-label, randomised, phase 2 trial.",The Lancet. Oncology,"Mateo, J.; Porta, N.; Bianchini, D.; McGovern, U.; Elliott, T.; Jones, R.; Syndikus, I.; Ralph, C.; Jain, S.; Varughese, M.; Parikh, O.; Crabb, S.; Robinson, A.; McLaren, D.; Birtle, A.; Tanguay, J.; Miranda, S.; Figueiredo, I.; Seed, G.; Bertan, C.; Flohr, P.; Ebbs, B.; Rescigno, P.; Fowler, G.; Ferreira, A.; Riisnaes, R.; Pereira, R.; Curcean, A.; Chandler, R.; Clarke, M.; Gurel, B.; Crespo, M.; Nava Rodrigues, D.; Sandhu, S.; Espinasse, A.; Chatfield, P.; Tunariu, N.; Yuan, W.; Hall, E.; Carreira, S.; de Bono, JS.","BACKGROUND: Metastatic castration-resistant prostate cancer is enriched in DNA damage response (DDR) gene aberrations. The TOPARP-B trial aims to prospectively validate the association between DDR gene aberrations and response to olaparib in metastatic castration-resistant prostate cancer.

METHODS: In this open-label, investigator-initiated, randomised phase 2 trial following a selection (or pick-the-winner) design, we recruited participants from 17 UK hospitals. Men aged 18 years or older with progressing metastatic castration-resistant prostate cancer previously treated with one or two taxane chemotherapy regimens and with an Eastern Cooperative Oncology Group performance status of 2 or less had tumour biopsies tested with targeted sequencing. Patients with DDR gene aberrations were randomly assigned (1:1) by a computer-generated minimisation method, with balancing for circulating tumour cell count at screening, to receive 400 mg or 300 mg olaparib twice daily, given continuously in 4-week cycles until disease progression or unacceptable toxicity. Neither participants nor investigators were masked to dose allocation. The primary endpoint of confirmed response was defined as a composite of all patients presenting with any of the following outcomes: radiological objective response (as assessed by Response Evaluation Criteria in Solid Tumors 1.1), a decrease in prostate-specific antigen (PSA) of 50% or more (PSA50) from baseline, or conversion of circulating tumour cell count (from ≥5 cells per 7·5 mL blood at baseline to <5 cells per 7·5 mL blood). A confirmed response in a consecutive assessment after at least 4 weeks was required for each component. The primary analysis was done in the evaluable population. If at least 19 (43%) of 44 evaluable patients in a dose cohort responded, then the dose cohort would be considered successful. Safety was assessed in all patients who received at least one dose of olaparib. This trial is registered at ClinicalTrials.gov, NCT01682772. Recruitment for the trial has completed and follow-up is ongoing.

FINDINGS: 711 patients consented for targeted screening between April 1, 2015, and Aug 30, 2018. 161 patients had DDR gene aberrations, 98 of whom were randomly assigned and treated (49 patients for each olaparib dose), with 92 evaluable for the primary endpoint (46 patients for each olaparib dose). Median follow-up was 24·8 months (IQR 16·7-35·9). Confirmed composite response was achieved in 25 (54·3%; 95% CI 39·0-69·1) of 46 evaluable patients in the 400 mg cohort, and 18 (39·1%; 25·1-54·6) of 46 evaluable patients in the 300 mg cohort. Radiological response was achieved in eight (24·2%; 11·1-42·3) of 33 evaluable patients in the 400 mg cohort and six (16·2%; 6·2-32·0) of 37 in the 300 mg cohort; PSA50 response was achieved in 17 (37·0%; 23·2-52·5) of 46 and 13 (30·2%; 17·2-46·1) of 43; and circulating tumour cell count conversion was achieved in 15 (53·6%; 33·9-72·5) of 28 and 13 (48·1%; 28·7-68·1) of 27. The most common grade 3-4 adverse event in both cohorts was anaemia (15 [31%] of 49 patients in the 300 mg cohort and 18 [37%] of 49 in the 400 mg cohort). 19 serious adverse reactions were reported in 13 patients. One death possibly related to treatment (myocardial infarction) occurred after 11 days of treatment in the 300 mg cohort.

INTERPRETATION: Olaparib has antitumour activity against metastatic castration-resistant prostate cancer with DDR gene aberrations, supporting the implementation of genomic stratification of metastatic castration-resistant prostate cancer in clinical practice.

FUNDING: Cancer Research UK, AstraZeneca, Prostate Cancer UK, the Prostate Cancer Foundation, the Experimental Cancer Medicine Centres Network, and the National Institute for Health Research Biomedical Research Centres.",0.027
11643711,https://sysrev.com/p/78823/article/11643711,Targeting Androgen Receptor and DNA Repair in Metastatic Castration-Resistant Prostate Cancer: Results From NCI 9012.,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,"Hussain, M.; Daignault-Newton, S.; Twardowski, PW.; Albany, C.; Stein, MN.; Kunju, LP.; Siddiqui, J.; Wu, YM.; Robinson, D.; Lonigro, RJ.; Cao, X.; Tomlins, SA.; Mehra, R.; Cooney, KA.; Montgomery, B.; Antonarakis, ES.; Shevrin, DH.; Corn, PG.; Whang, YE.; Smith, DC.; Caram, MV.; Knudsen, KE.; Stadler, WM.; Feng, FY.; Chinnaiyan, AM.","Purpose To determine whether cotargeting poly (ADP-ribose) polymerase-1 plus androgen receptor is superior to androgen receptor inhibition in metastatic castration-resistant prostate cancer (mCRPC) and whether ETS fusions predict response. Patients and Methods Patients underwent metastatic site biopsy and were stratified by ETS status and randomly assigned to abiraterone plus prednisone without (arm A) or with veliparib (arm B). Primary objectives were: confirmed prostate-specific antigen (PSA) response rate (RR) and whether ETS fusions predicted response. Secondary objectives were: safety, measurable disease RR (mRR), progression-free survival (PFS), and molecular biomarker analysis. A total of 148 patients were randomly assigned to detect a 20% PSA RR improvement. Results A total of 148 patients with mCRPC were randomly assigned: arm A, n = 72; arm B, n = 76. There were no differences in PSA RR (63.9% v 72.4%; P = .27), mRR (45.0% v 52.2%; P = .51), or median PFS (10.1 v 11 months; P = .99). ETS fusions did not predict response. Exploratory analysis of tumor sequencing (80 patients) revealed: 41 patients (51%) were ETS positive, 20 (25%) had DNA-damage repair defect (DRD), 41 (51%) had AR amplification or copy gain, 34 (43%) had PTEN mutation, 33 (41%) had TP53 mutation, 39 (49%) had PIK3CA pathway activation, and 12 (15%) had WNT pathway alteration. Patients with DRD had significantly higher PSA RR (90% v 56.7%; P = .007) and mRR (87.5% v 38.6%; P = .001), PSA decline ≥ 90% (75% v 25%; P = .001), and longer median PFS (14.5 v 8.1 months; P = .025) versus those with wild-type tumors. Median PFS was longer in patients with normal PTEN (13.5 v 6.7 months; P = .02), TP53 (13.5 v 7.7 months; P = .01), and PIK3CA (13.8 v 8.3 months; P = .03) versus those with mutation or activation. In multivariable analysis adjusting for clinical covariates, DRD association with PFS remained significant. Conclusion Veliparib and ETS status did not affect response. Exploratory analysis identified a novel DRD association with mCRPC outcomes.",0.973
11643712,https://sysrev.com/p/78823/article/11643712,Survival with Olaparib in Metastatic Castration-Resistant Prostate Cancer.,The New England journal of medicine,"Hussain, M.; Mateo, J.; Fizazi, K.; Saad, F.; Shore, N.; Sandhu, S.; Chi, KN.; Sartor, O.; Agarwal, N.; Olmos, D.; Thiery-Vuillemin, A.; Twardowski, P.; Roubaud, G.; Özgüroğlu, M.; Kang, J.; Burgents, J.; Gresty, C.; Corcoran, C.; Adelman, CA.; de Bono, J.","BACKGROUND: We previously reported that olaparib led to significantly longer imaging-based progression-free survival than the physician's choice of enzalutamide or abiraterone among men with metastatic castration-resistant prostate cancer who had qualifying alterations in homologous recombination repair genes and whose disease had progressed during previous treatment with a next-generation hormonal agent. The results of the final analysis of overall survival have not yet been reported.

METHODS: In an open-label, phase 3 trial, we randomly assigned patients in a 2:1 ratio to receive olaparib (256 patients) or the physician's choice of enzalutamide or abiraterone plus prednisone as the control therapy (131 patients). Cohort A included 245 patients with at least one alteration in<i>BRCA1</i>,<i>BRCA2</i>, or<i>ATM</i>, and cohort B included 142 patients with at least one alteration in any of the other 12 prespecified genes. Crossover to olaparib was allowed after imaging-based disease progression for patients who met certain criteria. Overall survival in cohort A, a key secondary end point, was analyzed with the use of an alpha-controlled, stratified log-rank test at a data maturity of approximately 60%. The primary and other key secondary end points were reported previously.

RESULTS: The median duration of overall survival in cohort A was 19.1 months with olaparib and 14.7 months with control therapy (hazard ratio for death, 0.69; 95% confidence interval [CI], 0.50 to 0.97; P = 0.02). In cohort B, the median duration of overall survival was 14.1 months with olaparib and 11.5 months with control therapy. In the overall population (cohorts A and B), the corresponding durations were 17.3 months and 14.0 months. Overall, 86 of 131 patients (66%) in the control group crossed over to receive olaparib (56 of 83 patients [67%] in cohort A). A sensitivity analysis that adjusted for crossover to olaparib showed hazard ratios for death of 0.42 (95% CI, 0.19 to 0.91) in cohort A, 0.83 (95% CI, 0.11 to 5.98) in cohort B, and 0.55 (95% CI, 0.29 to 1.06) in the overall population.

CONCLUSIONS: Among men with metastatic castration-resistant prostate cancer who had tumors with at least one alteration in<i>BRCA1</i>,<i>BRCA2</i>, or<i>ATM</i>and whose disease had progressed during previous treatment with a next-generation hormonal agent, those who were initially assigned to receive olaparib had a significantly longer duration of overall survival than those who were assigned to receive enzalutamide or abiraterone plus prednisone as the control therapy, despite substantial crossover from control therapy to olaparib. (Funded by AstraZeneca and Merck Sharp and Dohme; PROfound ClinicalTrials.gov number, NCT02987543.).",0.904
11643713,https://sysrev.com/p/78823/article/11643713,"Olaparib combined with abiraterone in patients with metastatic castration-resistant prostate cancer: a randomised, double-blind, placebo-controlled, phase 2 trial.",The Lancet. Oncology,"Clarke, N.; Wiechno, P.; Alekseev, B.; Sala, N.; Jones, R.; Kocak, I.; Chiuri, VE.; Jassem, J.; Fléchon, A.; Redfern, C.; Goessl, C.; Burgents, J.; Kozarski, R.; Hodgson, D.; Learoyd, M.; Saad, F.","BACKGROUND: Patients with metastatic castration-resistant prostate cancer and homologous recombination repair (HRR) mutations have a better response to treatment with the poly(ADP-ribose) polymerase inhibitor olaparib than patients without HRR mutations. Preclinical data suggest synergy between olaparib and androgen pathway inhibitors. We aimed to assess the efficacy of olaparib plus the androgen pathway inhibitor abiraterone in patients with metastatic castration-resistant prostate cancer regardless of HRR mutation status.

METHODS: We carried out this double-blind, randomised, placebo-controlled phase 2 trial at 41 urological oncology sites in 11 countries across Europe and North America. Eligible male patients were aged 18 years or older with metastatic castration-resistant prostate cancer who had previously received docetaxel and were candidates for abiraterone treatment. Patients were excluded if they had received more than two previous lines of chemotherapy, or had previous exposure to second-generation antihormonal drugs. Patients were randomly assigned (1:1) using an interactive voice or web response system, without stratification, to receive oral olaparib 300 mg twice daily or placebo. All patients received oral abiraterone 1000 mg once daily and prednisone or prednisolone 5 mg twice daily. Patients and investigators were masked to treatment allocation. The primary endpoint was investigator-assessed radiographic progression-free survival (rPFS; based on Response Evaluation Criteria in Solid Tumors version 1.1 and Prostate Cancer Clinical Trials Working Group 2 criteria). Efficacy analyses were done in the intention-to-treat population, which included all randomly assigned patients, and safety analyses included all patients who received at least one dose of olaparib or placebo. This trial is registered with ClinicalTrials.gov, number NCT01972217, and is no longer recruiting patients.

FINDINGS: Between Nov 25, 2014, and July 14, 2015, 171 patients were assessed for eligibility. Of those, 142 patients were randomly assigned to receive olaparib and abiraterone (n=71) or placebo and abiraterone (n=71). The clinical cutoff date for the final analysis was Sept 22, 2017. Median rPFS was 13·8 months (95% CI 10·8-20·4) with olaparib and abiraterone and 8·2 months (5·5-9·7) with placebo and abiraterone (hazard ratio [HR] 0·65, 95% CI 0·44-0·97, p=0·034). The most common grade 1-2 adverse events were nausea (26 [37%] patients in the olaparib group vs 13 [18%] patients in the placebo group), constipation (18 [25%] vs eight [11%]), and back pain (17 [24%] vs 13 [18%]). 38 (54%) of 71 patients in the olaparib and abiraterone group and 20 (28%) of 71 patients in the placebo and abiraterone group had grade 3 or worse adverse events, including anaemia (in 15 [21%] of 71 patients vs none of 71), pneumonia (four [6%] vs three [4%]), and myocardial infarction (four [6%] vs none). Serious adverse events were reported by 24 (34%) of 71 patients receiving olaparib and abiraterone (seven of which were related to treatment) and 13 (18%) of 71 patients receiving placebo and abiraterone (one of which was related to treatment). One treatment-related death (pneumonitis) occurred in the olaparib and abiraterone group.

INTERPRETATION: Olaparib in combination with abiraterone provided clinical efficacy benefit for patients with metastatic castration-resistant prostate cancer compared with abiraterone alone. More serious adverse events were observed in patients who received olaparib and abiraterone than abiraterone alone. Our data suggest that the combination of olaparib and abiraterone might provide an additional clinical benefit to a broad population of patients with metastatic castration-resistant prostate cancer.

FUNDING: AstraZeneca.",0.971
11643714,https://sysrev.com/p/78823/article/11643714,Circulating Tumor DNA Genomics Correlate with Resistance to Abiraterone and Enzalutamide in Prostate Cancer.,Cancer discovery,"Annala, M.; Vandekerkhove, G.; Khalaf, D.; Taavitsainen, S.; Beja, K.; Warner, EW.; Sunderland, K.; Kollmannsberger, C.; Eigl, BJ.; Finch, D.; Oja, CD.; Vergidis, J.; Zulfiqar, M.; Azad, AA.; Nykter, M.; Gleave, ME.; Wyatt, AW.; Chi, KN.","Primary resistance to androgen receptor (AR)-directed therapies in metastatic castration-resistant prostate cancer (mCRPC) is poorly understood. We randomized 202 patients with treatment-naïve mCRPC to abiraterone or enzalutamide and performed whole-exome and deep targeted 72-gene sequencing of plasma cell-free DNA prior to therapy. For these agents, which have never been directly compared, time to progression was similar. Defects in<i>BRCA2</i>and<i>ATM</i>were strongly associated with poor clinical outcomes independently of clinical prognostic factors and circulating tumor DNA abundance. Somatic alterations in<i>TP53</i>, previously linked to reduced tumor dependency on AR signaling, were also independently associated with rapid resistance. Although detection of<i>AR</i>amplifications did not outperform standard prognostic biomarkers,<i>AR</i>gene structural rearrangements truncating the ligand binding domain were identified in several patients with primary resistance. These findings establish genomic drivers of resistance to first-line AR-directed therapy in mCRPC and identify potential minimally invasive biomarkers.<b>Significance:</b>Leveraging plasma specimens collected in a large randomized phase II trial, we report the relative impact of common circulating tumor DNA alterations on patient response to the most widely used therapies for advanced prostate cancer. Our findings suggest that liquid biopsy analysis can guide the use of AR-targeted therapy in general practice.<i>Cancer Discov; 8(4); 444-57. ©2018 AACR.</i><i>See related commentary by Jayaram et al., p. 392</i><i>This article is highlighted in the In This Issue feature, p. 371</i>.",0.974
11643715,https://sysrev.com/p/78823/article/11643715,DNA-Repair Defects and Olaparib in Metastatic Prostate Cancer.,The New England journal of medicine,"Mateo, J.; Carreira, S.; Sandhu, S.; Miranda, S.; Mossop, H.; Perez-Lopez, R.; Nava Rodrigues, D.; Robinson, D.; Omlin, A.; Tunariu, N.; Boysen, G.; Porta, N.; Flohr, P.; Gillman, A.; Figueiredo, I.; Paulding, C.; Seed, G.; Jain, S.; Ralph, C.; Protheroe, A.; Hussain, S.; Jones, R.; Elliott, T.; McGovern, U.; Bianchini, D.; Goodall, J.; Zafeiriou, Z.; Williamson, CT.; Ferraldeschi, R.; Riisnaes, R.; Ebbs, B.; Fowler, G.; Roda, D.; Yuan, W.; Wu, YM.; Cao, X.; Brough, R.; Pemberton, H.; A'Hern, R.; Swain, A.; Kunju, LP.; Eeles, R.; Attard, G.; Lord, CJ.; Ashworth, A.; Rubin, MA.; Knudsen, KE.; Feng, FY.; Chinnaiyan, AM.; Hall, E.; de Bono, JS.","BACKGROUND: Prostate cancer is a heterogeneous disease, but current treatments are not based on molecular stratification. We hypothesized that metastatic, castration-resistant prostate cancers with DNA-repair defects would respond to poly(adenosine diphosphate [ADP]-ribose) polymerase (PARP) inhibition with olaparib.

METHODS: We conducted a phase 2 trial in which patients with metastatic, castration-resistant prostate cancer were treated with olaparib tablets at a dose of 400 mg twice a day. The primary end point was the response rate, defined either as an objective response according to Response Evaluation Criteria in Solid Tumors, version 1.1, or as a reduction of at least 50% in the prostate-specific antigen level or a confirmed reduction in the circulating tumor-cell count from 5 or more cells per 7.5 ml of blood to less than 5 cells per 7.5 ml. Targeted next-generation sequencing, exome and transcriptome analysis, and digital polymerase-chain-reaction testing were performed on samples from mandated tumor biopsies.

